,scenario_id,roaduser_id,startx_axis,starty_axis,endx_axis,endy_axis,speed,max_speed,numberofcycle,start_cycle,user_type
0,1,c17,70.54485905,47.8001138,28.32156594,23.12612345,1.846916271,6.141194108,40,0,2
1,1,p1,49.91721891,41.06579529,55.75978724920926,24.656279741695577,0.8589329109999999,1.318852457,35,0,1
2,1,p2,46.25241409383243,49.07019791540526,54.96230075616757,16.581170034594745,1.5096006530000001,1.808190025,39,3,1
3,1,p55,53.7604311123289,28.87050647575776,46.024354868355495,47.17922418121119,0.9667628090000001,1.53016056,31,0,1
4,2,p130,54.95773174075279,48.47612641018186,82.99802357924722,43.876244059818134,1.183634224,1.387618587,61,18,1
5,2,c18,97.35388597547485,62.91851508736292,25.04729545,20.76408015,5.06487437,8.282999966,56,16,2
6,3,p91,75.68671947748922,36.00155632792129,52.737280332510785,47.85451664207871,1.1551423,1.283595955,90,46,1
7,3,p92,77.11933318581508,36.14505918142419,53.413297664184924,48.51092723857581,1.10549095,1.410473546,91,48,1
8,3,p93,76.24138072136532,36.82133705247044,54.09097821863468,48.85630530752956,0.956132476,1.521042666,91,50,1
9,3,c2,14.435336980887397,6.357041253012868,85.52603742,54.19742869,5.683582432000001,5.683582432000001,73,28,2
10,3,c22,89.69847362236328,58.73621317204228,27.77226799,22.94524975,1.6229329590000001,5.1143133910000005,88,41,2
11,4,c23,80.02119828484173,52.47289853612535,24.19159913,20.25393882,2.240094919,8.20023749,127,80,2
12,4,p135,54.44200470437857,44.93935985218691,69.33652991562143,33.746825687813086,0.347292117,1.1506372679999999,134,91,1
13,4,p136,54.398955053565416,45.61283430288384,69.32351822643457,34.71354443711616,0.48876421200000003,1.071879524,131,89,1
14,5,p8,44.80558125127216,46.0028048423457,60.895919328727835,28.8168890476543,1.1024149140000001,1.721562445,149,120,1
15,5,p9,43.27556395310377,46.66131367449002,61.84844280689623,28.247749805509994,1.224409536,1.9719509419999999,151,122,1
16,5,p10,45.975761907354396,49.25591600749186,56.866558942645604,15.747790332508142,1.622065937,2.221140139,160,127,1
17,5,p4,50.05276946391211,48.145160953828956,54.45320230608789,18.697250706171047,1.152056512,1.685665917,149,113,1
18,5,p5,47.393680619638744,47.389998824473324,51.11916318036126,20.82259658552668,0.9525079870000001,1.5949216999999998,152,114,1
19,5,p6,49.16892976444255,48.39966693526911,52.105013255557445,19.11699295473089,1.0326763209999998,1.576924365,154,114,1
20,5,c25,80.18179867095033,52.66630368335878,26.31386092,21.86809409,2.557706984,7.429483737000001,167,115,2
21,6,c23,80.02119828484173,52.47289853612535,24.19159913,20.25393882,2.240094919,8.20023749,127,80,2
22,6,p94,69.30782039821986,30.21465850259101,55.43742314178014,50.624557077408994,1.167261102,1.296659402,104,68,1
23,6,p95,70.0471014074098,30.176414987612773,55.287477632590196,49.89141701238722,1.17658516,1.246560229,105,68,1
24,6,p96,71.08520084491117,30.238954497089672,54.83269456508883,50.09047087291032,1.267690255,1.267767581,106,68,1
25,6,p134,54.72410707944043,46.25747044143503,65.75657322055959,32.770093798564965,0.292294433,1.392339129,133,76,1
26,6,p133,54.436007238642595,46.746436693489585,68.1909597313574,33.17678171651042,0.643939169,1.196321418,128,74,1
27,7,p57,56.42818419596909,24.327040445998733,47.15643340403091,46.19531325400126,0.8333492259999999,1.330360159,169,126,1
28,7,p58,56.04834906353314,22.927833471357054,46.40270328646686,45.63197677864295,1.180490957,1.180490957,168,125,1
29,7,c25,80.18179867095033,52.66630368335878,26.31386092,21.86809409,2.557706984,7.429483737000001,167,115,2
30,8,p12,44.332774939374396,46.40321507802737,56.7668686206256,19.336121201972627,0.975132862,1.653699395,191,147,1
31,8,p13,44.01674479808936,45.330177015796224,56.246326561910635,19.339195634203772,0.8491101409999999,1.6158177830000002,191,148,1
32,8,p14,46.93449955934008,48.568018935264945,57.61977364065992,21.57649368473505,1.245459123,1.723422697,184,150,1
33,8,p15,43.8549539680899,47.93671582508564,58.4084303519101,19.854165674914363,1.215149419,1.937886884,185,149,1
34,8,c25,80.18179867095033,52.66630368335878,26.31386092,21.86809409,2.557706984,7.429483737000001,167,115,2
35,9,c26,96.66932030070417,62.07610599010196,30.47335887,24.26068274,4.578120502,6.544471877,205,174,2
36,9,p76,37.12798863793375,8.830487225054323,37.46914419206625,40.35867097494568,0.804620652,1.9360719169999998,231,185,1
37,10,c27,81.85913387852737,53.98408104906366,26.34506194,21.8797759,3.0861537460000004,9.526511005,243,221,2
38,10,p144,57.198477333550365,50.16359463297885,64.78410491644964,31.834482557021154,0.7271507970000001,1.111228704,273,220,1
39,10,p143,57.62638931997001,49.11077107534983,66.02098050002999,31.267389624650168,0.6837543970000001,1.0881404909999999,275,223,1
40,11,c5,15.544671974103153,7.839268228268008,82.57760232,52.69824048,2.711018057,4.773074251000001,256,212,2
41,11,p144,57.198477333550365,50.16359463297885,64.78410491644964,31.834482557021154,0.7271507970000001,1.111228704,273,220,1
42,11,p143,57.62638931997001,49.11077107534983,66.02098050002999,31.267389624650168,0.6837543970000001,1.0881404909999999,275,223,1
43,12,c6,1.6955562848059067,-4.386100075978763,82.13807629,52.21989039,9.013211942,9.013211942,304,256,2
44,12,p61,54.856040460725126,19.34714084698803,51.154933659274874,48.89303526301197,1.6616179430000002,1.6616179430000002,299,265,1
45,12,p24,44.73256669510107,48.70597495409845,55.41881232489893,17.790995755901548,1.390042165,1.967438045,294,257,1
46,12,p23,45.269357610576606,47.98011867678036,56.3409388694234,18.770296893219644,1.428087012,1.7443083169999998,294,257,1
47,13,c28,93.11165280687086,60.28637475894731,29.35609419,24.34839645,3.4544727689999997,6.301953369,378,319,2
48,13,c29,93.9823273441872,60.6411607703806,31.28906438,25.02844137,3.377757999,6.067321552,383,323,2
49,13,c31,93.2067927124413,60.34201569423206,27.84869604,23.06762033,2.619181059,8.117712978,408,330,2
50,13,p112,65.77756071119914,31.406438247382333,56.84635637880087,48.94661201261767,0.500612021,1.151342774,379,320,1
51,13,p113,64.35944066954127,29.86865237492636,58.816328800458734,48.648551305073646,0.8314447490000001,1.089940702,371,318,1
52,13,p114,90.09082044954172,45.47354851426396,56.51720264045827,50.81626949573604,1.92152874,1.92152874,361,324,1
53,14,p114,90.09082044954172,45.47354851426396,56.51720264045827,50.81626949573604,1.92152874,1.92152874,361,324,1
54,14,c31,93.2067927124413,60.34201569423206,27.84869604,23.06762033,2.619181059,8.117712978,408,330,2
55,15,c30,77.99532861626176,51.495975263403075,27.40888757,22.35990695,2.428100268,6.611720025,404,363,2
56,15,p150,64.50380767198554,55.91331263940803,67.60161500801446,30.10928527059197,1.102628903,1.503148119,433,350,1
57,15,p151,65.14728464133404,53.33814337819558,68.37584241866597,32.000796671804416,0.652706883,1.401148091,432,352,1
