,scenario_id,roaduser_id,startx_axis,starty_axis,endx_axis,endy_axis,speed,max_speed,numberofcycle,start_cycle,user_type,group_size,group_number
70,18,c127,62.64457837,42.81137697,8.47618856,12.60676735,1.98997076,4,1422,1392,2,0,0
71,18,p437,64.58701325,37.35936017,51.10778406,53.31855123,0.099575513,1.2,1422,1392,3,2,1
72,18,p438,63.84173638,37.16571538,50.47284551,52.01658227,0.067750496,1.2,1422,1392,3,2,1
73,18,c128,70.32724059,47.85422519,28.60673016,22.56712402,1.548399345,4,1422,1392,2,0,0
74,19,p471,61.32004723,45.22810977,66.20754939,26.86012701,0.591818119,1.2,1438,1412,3,2,1
75,19,p472,60.81108575,45.5457965,64.87069069,26.47194325,0.550697853,1.2,1438,1412,3,2,1
76,19,c129,68.21608032,46.2488609,25.79439102,22.00078918,0.601186122,4,1438,1412,2,0,0
77,19,c128,62.81393714,43.30035798,20.81110911,20.68536125,1.507621676,4,1438,1412,2,0,0
78,19,p358,49.58786702,41.48004372,56.45991869,26.59715357,0.903841938,1.2,1438,1421,1,0,0
79,20,p570,53.42124209,32.92470149,52.91494472,50.07423544,1.041344399,1.2,2050,2030,3,2,1
80,20,p571,52.95221989,32.55518683,52.65332555,49.41764618,1.004298806,1.2,2050,2030,3,2,1
81,20,c174,57.04997289,39.9718248,14.61818666,15.22511049,0.929978138,4,2050,2030,2,0,0
